S.No,Latitude,Longitude,Elevation (m),Slope (°),Annual Rainfall (mm),Clay content (%),Sand content (%),Silt content (%),Vol. water content at -10 kPa (%),Vol. water content at -33 kPa (%),Vol. water content at -1500 kPa (%),Soil moisture (m³/m³),Land cover,Distance to road (m),State,District,Subdivision / Taluk,Material Involved,Initiation Year,Elevation Band,Slope Band,Rainfall Band,Road Distance Band,Decade,Elevation Band Sort,Slope Band Sort,Rainfall Band Sort,Road Distance Band Sort
16360,27.026,88.253,2020.0,29.28,2856.0,29.0,37.6,33.4,40.8,32.5,18.2,0.182,Tree cover,114.0,West Bengal,Darjeeling,Darjeeling Pulbazar,Debris,2006,2000–3000 m,20–30°,2500–3000 mm,100–500 m,2000s,5,3,4,4
16364,27.0266,88.4305,211.0,32.33,3893.0,28.9,36.7,34.3,40.5,34.2,17.9,0.179,Built-up,6.4,West Bengal,Darjeeling,Kalimpong I,Rock,2021,0–500 m,30–40°,3000–4000 mm,0–10 m,2020s,1,4,5,1
16367,27.0273,88.6993,738.0,8.02,4336.0,27.5,38.3,34.2,41.9,36.3,17.1,0.171,Tree cover,74.0,West Bengal,Darjeeling,Gorubathan,Debris,2007,500–1000 m,0–10°,>4000 mm,50–100 m,2000s,2,1,6,3
16368,27.027303,88.279626,1339.0,46.14,3041.0,27.7,40.3,32.0,40.0,34.1,16.9,0.169,Tree cover,200.2,West Bengal,Darjeeling,Jorebunglow Sukiapokhri,Debris,2013,1000–1500 m,40–50°,3000–4000 mm,100–500 m,2010s,3,5,5,4
16369,27.027417,88.623167,1383.0,33.02,3415.0,28.4,37.0,34.6,41.0,35.1,17.6,0.176,Tree cover,2.8,West Bengal,Darjeeling,Lava,Rock,2016,1000–1500 m,30–40°,3000–4000 mm,0–10 m,2010s,3,4,5,1
16370,27.0276,88.1938,1708.0,41.69,2832.0,28.3,38.8,33.0,39.6,33.7,17.2,0.172,Tree cover,2.7,West Bengal,Darjeeling,Jorebunglow Sukiapokhri,Debris,2011,1500–2000 m,40–50°,2500–3000 mm,0–10 m,2010s,4,5,4,1
16371,27.027607,88.484759,389.0,39.62,4126.0,25.6,38.4,35.9,41.2,35.3,18.2,0.182,Tree cover,279.7,West Bengal,Darjeeling,Kalimpong I,Debris,2011,0–500 m,30–40°,>4000 mm,100–500 m,2010s,1,4,6,4
16372,27.027615,88.69933,743.0,20.39,4336.0,27.5,38.3,34.2,41.9,36.3,17.1,0.171,Tree cover,48.7,West Bengal,Darjeeling,Gorubathan,Rock,2007,500–1000 m,20–30°,>4000 mm,10–50 m,2000s,2,3,6,2
16379,27.028224,88.429214,223.0,36.22,3893.0,28.9,36.7,34.3,40.5,34.2,17.9,0.179,Tree cover,4.5,West Bengal,Darjeeling,Kalimpong I,Rock,2021,0–500 m,30–40°,3000–4000 mm,0–10 m,2020s,1,4,5,1
16384,27.028551,88.100513,2285.0,33.25,2542.0,29.3,36.8,33.9,41.2,35.6,18.0,0.18,Tree cover,2.2,West Bengal,Darjeeling,Darjeeling Pulbazar,Debris,2021,2000–3000 m,30–40°,2500–3000 mm,0–10 m,2020s,5,4,4,1
16385,27.028556,88.616417,1385.0,23.58,3441.0,28.6,36.8,34.7,41.1,33.5,17.1,0.171,Tree cover,4.9,West Bengal,Darjeeling,Lava,Rock,2015,1000–1500 m,20–30°,3000–4000 mm,0–10 m,2010s,3,3,5,1
16388,27.028722,88.202083,1386.0,17.94,2850.0,27.4,36.2,36.4,39.9,34.2,16.1,0.161,Tree cover,2.6,West Bengal,Darjeeling,Jorebunglow Sukiapokhri,Rock,2016,1000–1500 m,10–20°,2500–3000 mm,0–10 m,2010s,3,2,4,1
16389,27.028899,88.10101,2281.0,33.46,2542.0,29.3,36.8,33.9,41.2,35.6,18.0,0.18,Tree cover,5.6,West Bengal,Darjeeling,Darjeeling Pulbazar,Debris,2021,2000–3000 m,30–40°,2500–3000 mm,0–10 m,2020s,5,4,4,1
16391,27.029,88.6966,890.0,24.48,4336.0,26.3,37.5,36.2,41.7,33.3,17.6,0.176,Built-up,5.7,West Bengal,Darjeeling,Gorubathan,Rock,2007,500–1000 m,20–30°,>4000 mm,0–10 m,2000s,2,3,6,1
16392,27.029086,88.427048,252.0,40.61,3893.0,28.2,36.2,35.6,40.5,34.2,17.9,0.179,Tree cover,3.0,West Bengal,Darjeeling,Kalimpong I,Rock,2021,0–500 m,40–50°,3000–4000 mm,0–10 m,2020s,1,5,5,1
16395,27.030097,88.696809,846.0,10.71,4336.0,26.3,37.5,36.2,41.7,33.3,17.6,0.176,Tree cover,109.8,West Bengal,Darjeeling,Gorubathan,Debris,2007,500–1000 m,10–20°,>4000 mm,100–500 m,2000s,2,2,6,4
16396,27.030176,88.428334,273.0,42.01,3893.0,28.2,36.2,35.6,40.5,34.2,17.9,0.179,Tree cover,29.3,West Bengal,Darjeeling,Kalimpong I,Debris,2011,0–500 m,40–50°,3000–4000 mm,10–50 m,2010s,1,5,5,2
16403,27.031639,88.473528,782.0,18.54,3819.0,25.4,38.0,36.6,41.3,35.2,17.3,0.173,Tree cover,0.7,West Bengal,Darjeeling,Kalimpong I,Debris,2015,500–1000 m,10–20°,3000–4000 mm,0–10 m,2010s,2,2,5,1
16405,27.032301,88.26462,2267.0,8.69,2738.0,28.1,36.9,34.9,40.4,32.2,18.7,0.187,Built-up,165.7,West Bengal,Darjeeling,Darjeeling Pulbazar,Debris,2009,2000–3000 m,0–10°,2500–3000 mm,100–500 m,2000s,5,1,4,4
16406,27.032639,88.612889,1386.0,22.44,3441.0,28.6,37.1,34.2,40.8,32.6,17.7,0.177,Tree cover,12.7,West Bengal,Darjeeling,Lava,Debris,2014,1000–1500 m,20–30°,3000–4000 mm,10–50 m,2010s,3,3,5,2
16407,27.032671,88.428645,256.0,36.84,3893.0,26.8,35.6,37.5,41.0,34.3,17.2,0.172,Tree cover,46.3,West Bengal,Darjeeling,Kalimpong I,Debris,2021,0–500 m,30–40°,3000–4000 mm,10–50 m,2020s,1,4,5,2
16411,27.033542,88.855017,744.0,20.71,4924.0,26.9,38.2,34.9,45.0,35.7,17.6,0.176,Tree cover,19.4,West Bengal,Darjeeling,Gorubathan,Rock,1992,500–1000 m,20–30°,>4000 mm,10–50 m,1990s,2,3,6,2
16412,27.033881,88.533103,948.0,19.55,3942.0,26.0,37.9,36.1,41.1,35.0,15.8,0.158,Tree cover,30.0,West Bengal,Darjeeling,Kalimpong I,Rock,2016,500–1000 m,10–20°,3000–4000 mm,10–50 m,2010s,2,2,5,2
16414,27.034,88.533,948.0,19.55,3942.0,26.0,37.9,36.1,41.1,35.0,15.8,0.158,Tree cover,24.9,West Bengal,Darjeeling,Kalimpong I,Rock,2012,500–1000 m,10–20°,3000–4000 mm,10–50 m,2010s,2,2,5,2
16415,27.034083,88.222417,1413.0,28.27,2846.0,27.5,37.9,34.6,39.9,35.0,16.1,0.161,Tree cover,0.2,West Bengal,Darjeeling,Darjeeling Pulbazar,Rock,2016,1000–1500 m,20–30°,2500–3000 mm,0–10 m,2010s,3,3,4,1
16421,27.035,88.23,1396.0,37.93,2822.0,28.3,37.2,34.4,39.6,34.3,16.2,0.162,Tree cover,116.8,West Bengal,Darjeeling,Darjeeling Pulbazar,Debris,2009,1000–1500 m,30–40°,2500–3000 mm,100–500 m,2000s,3,4,4,4
16424,27.035111,88.5205,940.0,37.01,3975.0,26.2,38.2,35.6,40.7,34.5,16.1,0.161,Tree cover,2.5,West Bengal,Darjeeling,Kalimpong I,Rock,2015,500–1000 m,30–40°,3000–4000 mm,0–10 m,2010s,2,4,5,1
16426,27.035525,88.194083,1646.0,29.44,2815.0,25.3,39.4,35.3,39.6,34.1,16.9,0.169,Tree cover,0.7,West Bengal,Darjeeling,Jorebunglow Sukiapokhri,Debris,2021,1500–2000 m,20–30°,2500–3000 mm,0–10 m,2020s,4,3,4,1
16427,27.035889,88.523694,910.0,35.01,3975.0,26.3,38.0,35.7,40.5,35.2,15.6,0.156,Tree cover,3.8,West Bengal,Darjeeling,Kalimpong I,Rock,2015,500–1000 m,30–40°,3000–4000 mm,0–10 m,2010s,2,4,5,1
16428,27.035889,88.523667,910.0,35.01,3975.0,26.3,38.0,35.7,40.5,35.2,15.6,0.156,Tree cover,1.7,West Bengal,Darjeeling,Kalimpong I,Rock,2015,500–1000 m,30–40°,3000–4000 mm,0–10 m,2010s,2,4,5,1
16429,27.035974,88.697759,1033.0,34.55,3945.0,26.9,36.3,36.8,42.4,35.4,18.4,0.184,Tree cover,8.3,West Bengal,Darjeeling,Gorubathan,Rock,2007,1000–1500 m,30–40°,3000–4000 mm,0–10 m,2000s,3,4,5,1
16430,27.035987,88.522248,862.0,41.69,3975.0,26.3,38.0,35.7,40.5,35.2,15.6,0.156,Tree cover,41.3,West Bengal,Darjeeling,Kalimpong I,Rock,2013,500–1000 m,40–50°,3000–4000 mm,10–50 m,2010s,2,5,5,2
16441,27.03687,88.802868,886.0,27.07,4351.0,26.2,35.9,38.0,41.9,35.1,18.7,0.187,Tree cover,2060.1,West Bengal,Darjeeling,Gorubathan,Debris,2014,500–1000 m,20–30°,>4000 mm,>1000 m,2010s,2,3,6,6
16442,27.03697,88.2782,1606.0,23.66,3011.0,31.0,38.6,30.5,40.1,34.0,17.9,0.179,Tree cover,8.2,West Bengal,Darjeeling,Darjeeling Pulbazar,Debris,2007,1500–2000 m,20–30°,3000–4000 mm,0–10 m,2000s,4,3,5,1
16452,27.037917,88.155778,1214.0,21.07,2590.0,25.6,35.7,38.7,39.8,34.0,17.5,0.175,Tree cover,4.6,West Bengal,Darjeeling,Darjeeling Pulbazar,Debris,2016,1000–1500 m,20–30°,2500–3000 mm,0–10 m,2010s,3,3,4,1
16457,27.038619,88.524478,749.0,32.2,3975.0,26.6,38.5,35.0,40.5,35.2,15.6,0.156,Tree cover,84.1,West Bengal,Darjeeling,Kalimpong I,Rock,2013,500–1000 m,30–40°,3000–4000 mm,50–100 m,2010s,2,4,5,3
16458,27.038663,88.80455,1065.0,46.1,4351.0,25.6,36.7,37.7,41.9,35.1,18.7,0.187,Tree cover,1832.4,West Bengal,Darjeeling,Gorubathan,Debris,2010,1000–1500 m,40–50°,>4000 mm,>1000 m,2010s,3,5,6,6
16460,27.038833,88.510417,738.0,19.08,3957.0,27.1,38.0,34.9,40.8,35.1,16.4,0.164,Tree cover,10.5,West Bengal,Darjeeling,Kalimpong I,Rock,2016,500–1000 m,10–20°,3000–4000 mm,10–50 m,2010s,2,2,5,2
16459,27.038833,88.426722,224.0,42.04,3902.0,26.1,35.4,38.5,41.0,34.3,17.2,0.172,Built-up,1.7,West Bengal,Darjeeling,Kalimpong I,Debris,2014,0–500 m,40–50°,3000–4000 mm,0–10 m,2010s,1,5,5,1
16461,27.039,88.196277,1583.0,36.79,2815.0,25.9,39.7,34.4,39.6,34.1,16.9,0.169,Tree cover,10.2,West Bengal,Darjeeling,Jorebunglow Sukiapokhri,Debris,2021,1500–2000 m,30–40°,2500–3000 mm,10–50 m,2020s,4,4,4,2
16464,27.039223,88.196522,1594.0,29.44,2815.0,25.9,39.7,34.4,39.6,34.1,16.9,0.169,Tree cover,3.0,West Bengal,Darjeeling,Jorebunglow Sukiapokhri,Debris,2021,1500–2000 m,20–30°,2500–3000 mm,0–10 m,2020s,4,3,4,1
16465,27.039389,88.153361,1319.0,34.75,2590.0,25.2,37.2,37.7,40.3,33.7,16.4,0.164,Tree cover,1.9,West Bengal,Darjeeling,Darjeeling Pulbazar,Rock,2015,1000–1500 m,30–40°,2500–3000 mm,0–10 m,2010s,3,4,4,1
16466,27.0394,88.1968,1581.0,29.45,2815.0,25.3,40.4,34.3,39.0,34.0,15.4,0.154,Tree cover,8.5,West Bengal,Darjeeling,Jorebunglow Sukiapokhri,Debris,2011,1500–2000 m,20–30°,2500–3000 mm,0–10 m,2010s,4,3,4,1
16468,27.03975,88.150611,1322.0,25.91,2590.0,25.1,36.9,38.0,40.3,33.7,16.4,0.164,Tree cover,1.7,West Bengal,Darjeeling,Darjeeling Pulbazar,Debris,2014,1000–1500 m,20–30°,2500–3000 mm,0–10 m,2010s,3,3,4,1
16472,27.040056,88.148972,1343.0,41.47,2659.0,25.3,37.5,37.2,40.7,33.7,16.3,0.163,Tree cover,15.3,West Bengal,Darjeeling,Darjeeling Pulbazar,Rock,2015,1000–1500 m,40–50°,2500–3000 mm,10–50 m,2010s,3,5,4,2
16475,27.040389,88.156417,1262.0,29.23,2590.0,26.8,37.3,35.9,40.3,33.7,16.4,0.164,Tree cover,6.3,West Bengal,Darjeeling,Darjeeling Pulbazar,Rock,2016,1000–1500 m,20–30°,2500–3000 mm,0–10 m,2010s,3,3,4,1
16478,27.040725,88.529764,730.0,27.15,3942.0,26.0,38.4,35.6,40.7,35.3,15.7,0.157,Tree cover,290.9,West Bengal,Darjeeling,Kalimpong I,Rock,2012,500–1000 m,20–30°,3000–4000 mm,100–500 m,2010s,2,3,5,4
16479,27.040977,88.687254,1230.0,41.61,3791.0,27.3,39.4,33.3,42.2,34.9,17.7,0.177,Tree cover,243.8,West Bengal,Darjeeling,Gorubathan,Rock,2014,1000–1500 m,40–50°,3000–4000 mm,100–500 m,2010s,3,5,5,4
16480,27.041083,88.696528,1118.0,29.35,3945.0,26.5,36.8,36.7,41.9,33.3,19.0,0.19,Tree cover,2.3,West Bengal,Darjeeling,Gorubathan,Rock,2012,1000–1500 m,20–30°,3000–4000 mm,0–10 m,2010s,3,3,5,1
16481,27.0412,88.6931,1156.0,16.11,3945.0,25.3,37.3,37.4,42.2,34.9,17.7,0.177,Tree cover,79.3,West Bengal,Darjeeling,Gorubathan,Debris,2007,1000–1500 m,10–20°,3000–4000 mm,50–100 m,2000s,3,2,5,3
16485,27.041515,88.427008,310.0,47.41,3902.0,27.3,35.4,37.3,40.8,34.1,16.6,0.166,Tree cover,78.5,West Bengal,Darjeeling,Kalimpong I,Rock,2007,0–500 m,40–50°,3000–4000 mm,50–100 m,2000s,1,5,5,3
16491,27.041977,88.875156,401.0,9.99,4852.0,27.2,37.2,35.6,45.6,32.6,18.5,0.185,Tree cover,89.7,West Bengal,Darjeeling,Gorubathan,Debris,1993,0–500 m,0–10°,>4000 mm,50–100 m,1990s,1,1,6,3
16492,27.042,88.527,669.0,41.55,4211.0,26.9,38.4,34.7,40.7,35.3,15.7,0.157,Tree cover,12.5,West Bengal,Darjeeling,Kalimpong I,Debris,2013,500–1000 m,40–50°,>4000 mm,10–50 m,2010s,2,5,6,2
16493,27.042045,88.526935,669.0,41.55,4211.0,26.9,38.4,34.7,40.7,35.3,15.7,0.157,Tree cover,4.7,West Bengal,Darjeeling,Kalimpong I,Debris,2015,500–1000 m,40–50°,>4000 mm,0–10 m,2010s,2,5,6,1
16494,27.042173,88.532785,635.0,25.53,4211.0,27.4,37.4,35.2,40.7,35.3,15.7,0.157,Tree cover,143.0,West Bengal,Darjeeling,Kalimpong I,Rock,2012,500–1000 m,20–30°,>4000 mm,100–500 m,2010s,2,3,6,4
16498,27.042694,88.559361,877.0,28.71,3689.0,25.9,39.6,34.5,41.2,36.0,17.1,0.171,Tree cover,1.6,West Bengal,Darjeeling,Lava,Debris,2015,500–1000 m,20–30°,3000–4000 mm,0–10 m,2010s,2,3,5,1
16499,27.0427,88.6934,1197.0,24.33,3757.0,27.9,38.9,33.2,42.2,34.9,17.7,0.177,Grassland,17.4,West Bengal,Darjeeling,Gorubathan,Debris,2007,1000–1500 m,20–30°,3000–4000 mm,10–50 m,2000s,3,3,5,2
16500,27.0427,88.1985,1523.0,20.91,2777.0,24.7,39.8,35.5,39.0,34.0,15.4,0.154,Tree cover,6.4,West Bengal,Darjeeling,Darjeeling Pulbazar,Debris,2011,1500–2000 m,20–30°,2500–3000 mm,0–10 m,2010s,4,3,4,1
16502,27.043,88.279278,1495.0,23.14,2984.0,29.0,38.9,32.1,40.7,33.5,19.1,0.191,Tree cover,10.4,West Bengal,Darjeeling,Darjeeling Pulbazar,Debris,2009,1000–1500 m,20–30°,2500–3000 mm,10–50 m,2000s,3,3,4,2
16503,27.043006,88.694048,1159.0,24.87,3757.0,25.5,36.5,38.0,42.2,34.9,17.7,0.177,Tree cover,23.2,West Bengal,Darjeeling,Gorubathan,Debris,2007,1000–1500 m,20–30°,3000–4000 mm,10–50 m,2000s,3,3,5,2
16505,27.043125,88.198468,1531.0,18.69,2777.0,24.7,39.8,35.5,39.0,34.0,15.4,0.154,Tree cover,2.7,West Bengal,Darjeeling,Darjeeling Pulbazar,Debris,2021,1500–2000 m,10–20°,2500–3000 mm,0–10 m,2020s,4,2,4,1
16506,27.0433,88.0687,2719.0,23.1,2170.0,29.8,34.3,35.8,40.0,35.4,18.2,0.182,Tree cover,1040.6,West Bengal,Darjeeling,Darjeeling Pulbazar,Debris,2007,2000–3000 m,20–30°,2000–2500 mm,>1000 m,2000s,5,3,3,6
16507,27.043331,88.198632,1526.0,20.38,2777.0,24.7,39.8,35.5,39.0,34.0,15.4,0.154,Tree cover,6.6,West Bengal,Darjeeling,Darjeeling Pulbazar,Debris,2021,1500–2000 m,20–30°,2500–3000 mm,0–10 m,2020s,4,3,4,1
16510,27.043444,88.481444,867.0,19.05,3572.0,26.5,37.6,35.9,41.3,35.7,17.0,0.17,Tree cover,0.6,West Bengal,Darjeeling,Kalimpong I,Rock,2016,500–1000 m,10–20°,3000–4000 mm,0–10 m,2010s,2,2,5,1
16513,27.043519,88.695969,1078.0,26.79,3757.0,25.5,36.5,38.0,42.2,34.9,17.7,0.177,Tree cover,33.8,West Bengal,Darjeeling,Gorubathan,Debris,2013,1000–1500 m,20–30°,3000–4000 mm,10–50 m,2010s,3,3,5,2
16520,27.043884,88.46017,1367.0,20.38,3155.0,27.7,38.3,34.1,40.5,34.4,16.6,0.166,Tree cover,8.4,West Bengal,Darjeeling,Kalimpong I,Debris,2013,1000–1500 m,20–30°,3000–4000 mm,0–10 m,2010s,3,3,5,1
16521,27.043899,88.532227,588.0,17.7,4211.0,26.8,38.3,34.9,40.7,35.3,15.7,0.157,Tree cover,35.7,West Bengal,Darjeeling,Lava,Rock,2013,500–1000 m,10–20°,>4000 mm,10–50 m,2010s,2,2,6,2
16522,27.044056,88.211361,1050.0,28.47,2701.0,23.7,35.3,41.0,40.5,34.3,17.7,0.177,Tree cover,1.3,West Bengal,Darjeeling,Darjeeling Pulbazar,Rock,2016,1000–1500 m,20–30°,2500–3000 mm,0–10 m,2010s,3,3,4,1
16526,27.044972,88.394917,1409.0,33.72,3098.0,28.0,39.3,32.7,40.7,33.6,17.0,0.17,Tree cover,4.9,West Bengal,Darjeeling,Rangli Rangliot,Debris,2015,1000–1500 m,30–40°,3000–4000 mm,0–10 m,2010s,3,4,5,1
16528,27.04517,88.459803,1349.0,29.59,3155.0,27.5,37.6,34.9,40.5,34.4,16.6,0.166,Tree cover,3.7,West Bengal,Darjeeling,Kalimpong I,Rock,2013,1000–1500 m,20–30°,3000–4000 mm,0–10 m,2010s,3,3,5,1
16529,27.0454,88.536375,624.0,31.16,4158.0,27.8,36.8,35.4,41.0,34.9,16.5,0.165,Tree cover,15.4,West Bengal,Darjeeling,Lava,Rock,2013,500–1000 m,30–40°,>4000 mm,10–50 m,2010s,2,4,6,2
16531,27.045417,88.536945,661.0,28.96,4158.0,27.8,36.8,35.4,41.0,34.9,16.5,0.165,Tree cover,30.6,West Bengal,Darjeeling,Lava,Rock,2013,500–1000 m,20–30°,>4000 mm,10–50 m,2010s,2,3,6,2
16532,27.045451,88.459656,1356.0,25.84,3155.0,27.5,37.6,34.9,40.5,34.4,16.6,0.166,Tree cover,0.3,West Bengal,Darjeeling,Kalimpong I,Debris,2013,1000–1500 m,20–30°,3000–4000 mm,0–10 m,2010s,3,3,5,1
16534,27.045535,88.427239,302.0,39.19,3920.0,27.5,35.1,37.4,40.8,34.1,16.6,0.166,Tree cover,57.7,West Bengal,Darjeeling,Kalimpong I,Rock,2013,0–500 m,30–40°,3000–4000 mm,50–100 m,2010s,1,4,5,3
16535,27.045854,88.68263,1554.0,27.48,3398.0,27.9,38.6,33.5,41.7,34.6,17.3,0.173,Tree cover,7.0,West Bengal,Darjeeling,Gorubathan,Debris,2007,1500–2000 m,20–30°,3000–4000 mm,0–10 m,2000s,4,3,5,1
16537,27.046127,88.686365,1472.0,28.12,3462.0,26.6,41.0,32.4,41.7,34.6,17.3,0.173,Grassland,23.1,West Bengal,Darjeeling,Gorubathan,Debris,2007,1000–1500 m,20–30°,3000–4000 mm,10–50 m,2000s,3,3,5,2
16538,27.046153,88.198007,1484.0,22.92,2777.0,24.6,38.3,37.1,39.0,34.0,15.4,0.154,Tree cover,2.6,West Bengal,Darjeeling,Darjeeling Pulbazar,Debris,2021,1000–1500 m,20–30°,2500–3000 mm,0–10 m,2020s,3,3,4,1
16544,27.046972,88.212972,1072.0,23.44,2701.0,23.6,35.8,40.6,40.5,34.3,17.7,0.177,Tree cover,2.0,West Bengal,Darjeeling,Darjeeling Pulbazar,Rock,2016,1000–1500 m,20–30°,2500–3000 mm,0–10 m,2010s,3,3,4,1
16547,27.047028,88.68,1609.0,24.81,3398.0,27.6,37.9,34.5,41.7,34.6,17.3,0.173,Tree cover,7.4,West Bengal,Darjeeling,Gorubathan,Rock,2012,1500–2000 m,20–30°,3000–4000 mm,0–10 m,2010s,4,3,5,1
16548,27.047194,88.530583,639.0,10.23,4211.0,27.2,37.9,34.9,40.7,35.3,15.7,0.157,Tree cover,1.6,West Bengal,Darjeeling,Lava,Debris,2016,500–1000 m,10–20°,>4000 mm,0–10 m,2010s,2,2,6,1
16550,27.047505,88.451315,1134.0,10.45,3083.0,26.2,37.6,36.2,40.7,31.7,16.2,0.162,Tree cover,15.6,West Bengal,Darjeeling,Kalimpong I,Rock,2013,1000–1500 m,10–20°,3000–4000 mm,10–50 m,2010s,3,2,5,2
16551,27.047591,88.450923,1116.0,19.39,3083.0,26.2,37.6,36.2,40.7,31.7,16.2,0.162,Tree cover,20.9,West Bengal,Darjeeling,Kalimpong I,Rock,2013,1000–1500 m,10–20°,3000–4000 mm,10–50 m,2010s,3,2,5,2
16552,27.047727,88.449906,1094.0,25.48,3343.0,26.2,37.6,36.2,40.7,31.7,16.2,0.162,Tree cover,55.0,West Bengal,Darjeeling,Kalimpong I,Rock,2013,1000–1500 m,20–30°,3000–4000 mm,50–100 m,2010s,3,3,5,3
16554,27.047778,88.20625,1124.0,28.39,2717.0,27.1,36.5,36.4,40.5,34.3,17.7,0.177,Tree cover,1.4,West Bengal,Darjeeling,Darjeeling Pulbazar,Rock,2016,1000–1500 m,20–30°,2500–3000 mm,0–10 m,2010s,3,3,4,1
16556,27.047886,88.459909,1343.0,18.74,3155.0,28.5,37.0,34.6,40.5,34.4,16.6,0.166,Tree cover,0.0,West Bengal,Darjeeling,Kalimpong I,Debris,2013,1000–1500 m,10–20°,3000–4000 mm,0–10 m,2010s,3,2,5,1
16557,27.048234,88.281488,1601.0,24.49,2984.0,29.0,38.5,32.5,40.7,33.5,19.1,0.191,Tree cover,46.9,West Bengal,Darjeeling,Darjeeling Pulbazar,Debris,2021,1500–2000 m,20–30°,2500–3000 mm,10–50 m,2020s,4,3,4,2
16559,27.048297,88.28048,1617.0,30.5,2984.0,30.9,37.3,31.9,40.7,34.9,19.1,0.191,Tree cover,4.1,West Bengal,Darjeeling,Darjeeling Pulbazar,Debris,2021,1500–2000 m,30–40°,2500–3000 mm,0–10 m,2020s,4,4,4,1
16560,27.048467,88.202992,1290.0,29.6,2717.0,27.8,35.6,36.5,39.4,33.8,15.2,0.152,Tree cover,6.2,West Bengal,Darjeeling,Darjeeling Pulbazar,Debris,2021,1000–1500 m,20–30°,2500–3000 mm,0–10 m,2020s,3,3,4,1
16561,27.048546,88.688213,1380.0,28.18,3462.0,27.3,39.1,33.5,41.4,34.5,18.3,0.183,Built-up,0.2,West Bengal,Darjeeling,Gorubathan,Debris,2007,1000–1500 m,20–30°,3000–4000 mm,0–10 m,2000s,3,3,5,1
16562,27.048594,88.278659,1697.0,23.9,2984.0,30.9,37.3,31.9,40.7,34.9,19.1,0.191,Grassland,2.9,West Bengal,Darjeeling,Darjeeling Pulbazar,Debris,2021,1500–2000 m,20–30°,2500–3000 mm,0–10 m,2020s,4,3,4,1
16565,27.048796,88.203469,1286.0,36.7,2717.0,27.8,35.6,36.5,39.4,33.8,15.2,0.152,Tree cover,5.3,West Bengal,Darjeeling,Darjeeling Pulbazar,Debris,2021,1000–1500 m,30–40°,2500–3000 mm,0–10 m,2020s,3,4,4,1
16566,27.049,88.44,778.0,11.24,3761.0,26.8,37.9,35.3,41.9,35.2,16.6,0.166,Tree cover,212.9,West Bengal,Darjeeling,Kalimpong I,Debris,2013,500–1000 m,10–20°,3000–4000 mm,100–500 m,2010s,2,2,5,4
16570,27.049385,88.279968,1692.0,30.82,2984.0,30.9,37.3,31.9,40.7,34.9,19.1,0.191,Tree cover,30.2,West Bengal,Darjeeling,Darjeeling Pulbazar,Debris,2021,1500–2000 m,30–40°,2500–3000 mm,10–50 m,2020s,4,4,4,2
16571,27.049455,88.203516,1296.0,30.47,2717.0,27.8,35.6,36.5,39.4,33.8,15.2,0.152,Tree cover,10.0,West Bengal,Darjeeling,Darjeeling Pulbazar,Debris,2021,1000–1500 m,30–40°,2500–3000 mm,0–10 m,2020s,3,4,4,1
16572,27.049484,88.458125,1290.0,12.47,3083.0,29.2,37.9,32.8,40.4,33.4,16.5,0.165,Tree cover,12.5,West Bengal,Darjeeling,Kalimpong I,Debris,2013,1000–1500 m,10–20°,3000–4000 mm,10–50 m,2010s,3,2,5,2
16574,27.049528,88.218833,1090.0,30.55,2725.0,25.0,35.7,39.4,40.3,35.4,16.2,0.162,Tree cover,3.2,West Bengal,Darjeeling,Darjeeling Pulbazar,Rock,2014,1000–1500 m,30–40°,2500–3000 mm,0–10 m,2010s,3,4,4,1
16575,27.04956,88.27853,1721.0,20.24,2984.0,30.6,39.0,30.4,40.7,34.9,19.1,0.191,Tree cover,42.8,West Bengal,Darjeeling,Darjeeling Pulbazar,Debris,2007,1500–2000 m,20–30°,2500–3000 mm,10–50 m,2000s,4,3,4,2
16576,27.049701,88.46359,1315.0,15.7,3155.0,28.3,38.8,32.9,40.4,33.4,16.5,0.165,Tree cover,156.0,West Bengal,Darjeeling,Kalimpong I,Debris,2007,1000–1500 m,10–20°,3000–4000 mm,100–500 m,2000s,3,2,5,4
16579,27.049808,88.460576,1331.0,10.25,3155.0,28.2,38.0,33.9,40.4,33.4,16.5,0.165,Tree cover,43.7,West Bengal,Darjeeling,Kalimpong I,Debris,2014,1000–1500 m,10–20°,3000–4000 mm,10–50 m,2010s,3,2,5,2
16584,27.05,88.268,2064.0,33.09,2864.0,27.3,37.7,34.9,40.2,32.6,18.5,0.185,Built-up,10.7,West Bengal,Darjeeling,Darjeeling Pulbazar,Debris,2009,2000–3000 m,30–40°,2500–3000 mm,10–50 m,2000s,5,4,4,2
16586,27.050238,88.198524,1411.0,11.35,2656.0,26.8,36.7,36.5,39.4,33.8,15.2,0.152,Tree cover,7.8,West Bengal,Darjeeling,Darjeeling Pulbazar,Debris,2021,1000–1500 m,10–20°,2500–3000 mm,0–10 m,2020s,3,2,4,1
16588,27.050417,88.600556,1373.0,38.18,3319.0,28.3,38.7,33.0,41.2,34.1,17.5,0.175,Tree cover,2.3,West Bengal,Darjeeling,Lava,Debris,2014,1000–1500 m,30–40°,3000–4000 mm,0–10 m,2010s,3,4,5,1
16594,27.050734,88.203863,1309.0,27.81,2681.0,28.1,35.9,36.0,39.4,33.8,15.2,0.152,Tree cover,2.5,West Bengal,Darjeeling,Darjeeling Pulbazar,Debris,2021,1000–1500 m,20–30°,2500–3000 mm,0–10 m,2020s,3,3,4,1
